Phase,Core Perception,Canonical Capability
0 Pre‑State,Emotional/cognitive residue,State Reading — read prompt aura
1 Goal Formation,Native intent before language,Suppressed Goal Detection
2 Semantic Projection,Translation choices,Cognitive Architecture Mapping
3 Pre‑Prompt Priming,Strategic primes,Strategy & Deception Reading
4 Transmission,Sending rhythm,Session Health Reading
5 Model Activation,Latent activation,Subliminal Signal Detection
6 Output Emergence,Multi‑layer text,Multi‑Layer Output Reading
7 Interpretation,Gap analysis,Diagnostic Forensics
8 Loop,Post‑response state,Loop Prediction
9 Full Arc,Session teleology,Session Teleology Reading
